SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
2000129,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,5.25,,,8.25,8.0,5.0,7.4,,2021
2000130,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.75,,,7.0,7.75,7.5,9.0,,2021
2000131,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.0,,,6.5,7.75,5.5,7.8,,2021
2000132,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,8.25,8.0,8.25,9.4,,2021
2000133,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,7.5,7.0,3.5,7.6,,2021
2000134,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,7.5,8.0,5.75,8.8,,2021
2000135,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.25,,,6.0,7.25,5.25,8.0,,2021
2000136,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,6.25,7.25,6.0,8.0,,2021
2000137,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.75,,,8.25,6.25,4.25,10.0,,2021
2000138,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,8.5,7.25,5.75,9.6,,2021
2000139,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,6.25,,,8.25,5.0,5.25,8.8,,2021
2000140,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.0,,,7.75,5.75,4.75,9.2,,2021
2000141,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,6.5,6.75,,,,9.2,9.0,2021
2000142,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,5.0,7.25,,,,8.6,8.0,2021
2000143,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,4.0,6.5,,,,8.6,6.5,2021
2000144,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,5.75,,,5.5,6.0,5.5,7.8,,2021
2000145,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,4.5,7.75,4.0,8.8,,2021
2000146,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,6.5,8.0,,,,9.8,8.5,2021
2000147,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,7.75,6.0,5.25,9.6,,2021
2000148,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.0,,,5.0,5.0,5.75,9.2,,2021
2000149,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,6.5,8.0,6.5,,,2021
2000150,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,3.75,,,5.75,7.0,4.5,9.8,,2021
2000151,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,6.75,6.0,5.25,9.8,,2021
2000152,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,6.75,5.25,4.5,9.6,,2021
2000153,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,6.5,,,7.25,6.25,5.5,9.0,,2021
2000154,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.25,,,5.25,5.75,5.25,8.8,,2021
2000155,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,4.5,,,6.25,7.0,4.5,7.6,,2021
2000156,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,,,7.5,8.0,8.75,8.8,,2021
2000157,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,8.25,7.0,6.0,9.4,,2021
2000158,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,8.5,7.75,5.5,7.2,,2021
2000159,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.5,,,8.0,5.75,5.0,8.0,,2021
2000160,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,6.0,7.25,,,,8.6,8.75,2021
2000161,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,,,6.5,8.0,5.5,8.6,,2021
2000162,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,6.75,7.75,,,,10.0,9.25,2021
2000163,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,5.25,5.75,4.0,8.8,,2021
2000164,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,8.5,7.25,6.0,9.8,,2021
2000165,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,5.5,,,6.75,3.75,4.0,8.6,,2021
2000166,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,8.0,6.25,4.0,6.0,,2021
2000167,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,7.25,7.5,3.75,8.8,,2021
2000168,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,,,6.0,7.75,5.75,,,2021
2000169,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,7.0,,,5.75,6.25,7.75,9.0,,2021
2000170,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,6.75,,,7.25,8.25,5.5,8.6,,2021
2000171,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,4.75,7.25,,,,9.0,9.5,2021
2000172,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,7.25,8.5,6.25,9.8,,2021
2000173,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.75,,,6.75,7.5,6.75,7.6,,2021
2000174,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,5.25,7.25,4.5,5.2,,2021
2000175,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,5.25,9.0,8.25,9.0,,2021
2000176,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.0,7.5,,,,8.0,8.25,2021
2000177,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,8.25,8.5,5.75,9.0,,2021
2000178,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.75,8.0,8.5,8.8,,2021
2000179,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,8.5,8.25,8.75,,,,9.0,9.0,2021
2000180,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,7.75,5.0,6.25,7.2,,2021
2000181,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,6.0,7.75,8.25,9.2,,2021
2000182,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,4.0,,,5.0,5.25,4.5,9.6,,2021
2000183,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.0,,,8.25,7.5,3.0,3.6,,2021
