SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi
2002076,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,7.0,5.5,5.75,,,,6.0,8.5,2024
2002077,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.0,6.75,6.75,,,,6.2,8.5,2024
2002078,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,5.75,7.5,,,,8.6,9.25,2024
2002079,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,6.75,7.25,,,,4.2,8.75,2024
2002080,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.6,5.5,8.0,8.75,,,,4.0,9.5,2024
2002081,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.0,5.25,6.0,,,,9.4,8.5,2024
2002082,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,5.0,,5.5,6.2,,2024
2002083,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,4.75,6.25,,,,4.4,8.0,2024
2002084,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.0,,,3.75,,7.25,9.2,,2024
2002085,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6.75,,6.0,6.8,,2024
2002086,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.75,6.75,7.5,,,,7.8,8.75,2024
2002087,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,4.75,5.5,3.25,,,,6.4,8.0,2024
2002088,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,5.75,6.25,,,,4.8,8.25,2024
2002089,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,6.75,6.0,,,,5.4,9.0,2024
2002090,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.0,6.0,6.5,,,,6.6,7.75,2024
2002091,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,7.25,8.5,,,,6.2,9.0,2024
2002092,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,5.75,,,3.0,,5.0,4.0,,2024
2002093,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,4.25,,,7.0,,4.25,7.0,,2024
2002094,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,6.5,,5.75,4.6,,2024
2002095,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,,,6.25,,6.25,6.6,,2024
2002096,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,5.25,,,4.5,,5.5,3.8,,2024
2002097,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.75,5.25,7.25,,,,6.4,8.25,2024
2002098,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.5,6.25,7.25,,,,6.2,9.0,2024
2002099,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,7.5,8.25,,,,8.0,9.5,2024
2002100,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.0,5.5,5.0,,,,5.4,9.25,2024
2002101,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,5.75,,5.25,8.2,,2024
2002102,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.0,4.5,7.5,,,,7.2,8.5,2024
2002103,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,6.0,,5.25,4.4,,2024
2002104,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.75,8.25,7.5,,,,9.4,9.25,2024
2002105,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.0,3.5,6.5,,,,6.0,5.25,2024
2002106,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,7.5,8.75,,,,7.4,9.0,2024
2002107,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,5.25,5.0,6.25,,,,5.8,7.25,2024
2002108,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.5,,,4.25,,4.25,7.4,,2024
2002109,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,6.25,6.25,,,,6.2,9.25,2024
2002110,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.25,6.5,5.5,,,,8.6,8.5,2024
2002111,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.5,6.5,6.75,,,,7.6,8.5,2024
2002112,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8.75,,,6.5,,7.0,,,2024
2002113,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.0,,,5.5,,2.75,4.4,,2024
2002114,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.0,7.75,8.5,,,,8.0,9.5,2024
2002115,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,,,8.25,,4.75,5.8,,2024
2002116,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.25,6.0,4.25,,,,5.6,8.75,2024
2002117,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,4.25,6.5,,,,5.6,8.25,2024
2002118,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.5,5.75,5.5,,,,3.4,8.5,2024
2002119,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,4.75,,6.5,9.2,,2024
2002120,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.0,,,3.0,,6.25,7.8,,2024
2002121,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.25,5.0,6.75,,,,7.0,7.75,2024
2002122,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,7.75,,5.75,8.8,,2024
2002123,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,4.5,,,5.5,,4.0,9.0,,2024
2002124,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,6.0,,8.25,5.2,,2024
2002125,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,5.0,,,3.5,,4.75,4.0,,2024
2002126,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.0,,,6.75,,4.0,8.6,,2024
2002127,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.75,,,3.0,,3.25,6.2,,2024
2002128,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.5,,,7.5,,7.0,5.4,,2024
2002129,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,7.0,7.25,6.5,,,,7.2,9.5,2024
2002130,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,5.75,4.25,6.75,,,,6.6,7.25,2024
2002131,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.25,,,3.25,,5.0,3.6,,2024
2002132,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,6.75,,6.5,8.6,,2024
2002133,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,6.75,,5.75,8.4,,2024
2002134,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,,,5.25,,4.75,6.6,,2024
2002135,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.25,,,2.75,,4.5,4.2,,2024
2002136,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,8.5,,8.0,8.4,,2024
2002137,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,6.5,7.0,,,,7.8,8.5,2024
2002138,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,8.0,6.25,7.75,,,,4.8,8.5,2024
2002139,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,6.25,,,4.25,,6.25,7.8,,2024
2002140,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,7.5,7.75,,,,8.2,8.25,2024
2002141,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.0,7.0,8.0,,,,7.4,8.5,2024
2002142,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,3.25,,,4.5,,5.0,6.8,,2024
2002143,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,1.5,4.25,2.75,,,,4.6,4.75,2024
2002144,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,6.0,,7.0,9.2,,2024
2002145,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,5.5,,5.5,4.6,,2024
2002146,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,5.0,,7.0,5.4,,2024
2002147,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,,,4.0,,0.0,9.4,,2024
2002148,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,6.0,,4.5,6.4,,2024
2002149,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,7.5,6.5,7.5,,,,8.8,7.0,2024
2002150,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,6.25,,7.25,6.2,,2024
2002151,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,8.25,5.75,7.25,,,,5.2,7.25,2024
2002152,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.0,5.5,5.5,,,,7.6,8.25,2024
2002153,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,8.75,,6.5,6.8,,2024
