Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
DTT - Trường Đại Học Tôn Đức Thắng,F7520207,Kỹ thuật điện tử - viễn thông - Chất lượng cao,A00; A01; C01,26,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,F7520216,Kỹ thuật điều khiển và tự động hóa - Chất lượng cao,A00; A01; C01,26.7,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,F7520301,Kỹ thuật hóa học - Chất lượng cao,A00; B00; D07,23,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,F7580101,Kiến trúc - Chất lượng cao,V00; V01; A01; C01,28.5,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,F7580201,Kỹ thuật xây dựng - Chất lượng cao,A00; A01; C01,22,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7220201,Ngôn ngữ Anh - Chương trình đại học bằng tiếng Anh,E04; D01,25,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7310630Q,Việt Nam học (Chuyên ngành Du lịch và Quản lý du lịch) - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,24,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn) - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,27,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7340115,Marketing - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,28,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7340120,Kinh doanh quốc tế - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,28,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7340201,Tài chính - Ngân hàng - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,26,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7340301,Kế toán (Chuyên ngành Kế toán quốc tế) - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,24,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7420201,Công nghệ sinh học - Chương trình đại học bằng tiếng Anh,E05; D08; B00,24,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7480101,Khoa học máy tính - Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,28,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7480103,Kỹ thuật phần mềm -Chương trình đại học bằng tiếng Anh,E04; E06; D01; A01,28,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7520216,Kỹ thuật điều khiển và tự động hóa - Chương trình đại học bằng tiếng Anh,E06; A01; A00,24,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,FA7580201,Kỹ thuật xây dựng - Chương trình đại học bằng tiếng Anh,E06; A01; A00,24,Thang điểm 40
DTT - Trường Đại Học Tôn Đức Thắng,K7340101,Quản trị kinh doanh (song bằng 2+2) - Chương trình liên kết Đại học Kinh tế Praha (Cộng hòa Séc),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340101E,Quản trị kinh doanh toàn cầu (đơn bằng 2+2) - Chương trình liên kết Đại học Emlyon (Pháp),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340101L,Quản trị kinh doanh (đơn bằng 3+1) – Chương trình liên kết Đại học Lunghwa (Đài Loan),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340101N,Quản trị nhà hàng - khách sạn (song bằng 2.5+1.5) - Chương trình liên kết Đại học Taylor's (Malaysia),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340120L,Kinh doanh quốc tế (song bằng 3+1) – Chương trình liên kết Đại học La Trobe (Úc),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340201M,"Kinh doanh (Tài chính, Kinh doanh quốc tế, Marketing. Kế toán, Quản trị nguồn nhân lực & Quan hệ lao động) (đơn bằng 2+1.5) - Chương trình liên kết Đại học Massey (New Zealand)",E04; E06; D01; A01,26,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340201X,Tài chính và kiểm soát (song bằng 3+1) - Chương trình liên kết Đại học Khoa học ứng dụng Saxion (Hà Lan),E04; E06; D01; A01,26,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7340301,Kế toán (song bằng 3+1) - Chương trình liên kết Đại học West of England. Bristol (Vương quốc Anh),E04; E06; D01; A01,24,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7480101L,Công nghệ thông tin (song bằng 2+2) - Chương trình liên kết Đại học La Trobe (Úc),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7480101T,Khoa học máy tính (đơn bằng 2+2) - Chương trình liên kết Đại học Kỹ thuật Ostrava (Cộng hòa Séc),E04; E06; D01; A01,28,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7520201,Kỹ thuật điện – điện tử (song bằng 2.5+1.5) - Chương trình liên kết Đại học Khoa học ứng dụng Saxion (Hà Lan),E06; A01; A00,24,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,K7580201,Kỹ thuật xây dựng (song bằng 2+2) - Chương trình liên kết Đại học La Trobe (Úc),E06; A01; A00,24,"Chương trình liên kết đào tạo quốc tế, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7210403,Thiết kế đồ họa,H00; H01; H02; H03,24,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7220201,Ngôn ngữ Anh,D01; D11,24,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7310630,Việt Nam học (Chuyên ngành Du lịch và lữ hành),A01; C00; C01; D01,22,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7340101N,Quản trị kinh doanh (Chuyên ngành Quản trị nhà hàng - khách sạn),A00; A01; D01,22,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7340115,Marketing,A00; A01; D01,24,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7340301,Kế toán,A00; A01; C01; D01,22,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7380101,Luật,A00; A01; C00; D01,22,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7480101,Khoa học máy tính,A00; A01; D01,22,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
DTT - Trường Đại Học Tôn Đức Thắng,N7480103,Kỹ thuật phần mềm,A00; A01; D01,22,"Chương trình học tại phân hiệu Khánh Hòa, thang điểm 40"
HVN - Học Viện Nông Nghiệp Việt Nam,HVN01,Thú y,A00; A01; B00; D01,19,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN02,Chăn nuôi thú y - thuỷ sản,A00; B00; B08; D01,17,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN03,Nông nghiệp sinh thái và Nông nghiệp đô thị,A00; A09; B00; D01,17,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN04,Công nghệ kỹ thuật ô tô và Cơ điện tử,A00; A01; A09; D01,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN05,Kỹ thuật cơ khí,A00; A01; A09; D01,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN06,"Kỹ thuật điện, Điện tử và Tự động hoá",A00; A01; A09; D01,22.5,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN07,Logistics và Quản lý chuỗi cung ứng,A00; A09; C20; D01,25.25,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN08,"Quản trị kinh doanh, Thương mại và Du lịch",A00; A09; C20; D01,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN09,Công nghệ sinh học và Công nghệ dược liệu,A00; B00; B08; D01,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN10,Công nghệ thực phẩm và Chế biến,A00; B00; D07; D01,19,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN11,Kinh tế và Quản lý,A00; C04; D07; D01,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN12,Xã hội học,A09; C00; C20; D01,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN13,Luật,A09; C00; C20; D01,24.75,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN14,Công nghệ thông tin và Kỹ thuật số,A00; A01; D01; D07,19,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN15,"Quản lý đất đai, Bất động sản và Môi trường",A00; A01; B00; D01,16.5,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN16,Khoa học môi trường,A00; A01; B00; D01,17,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN17,Ngôn ngữ Anh,D01; D07; D14; D15,18,
HVN - Học Viện Nông Nghiệp Việt Nam,HVN18,Sư phạm công nghệ,A00; A01; B00; D01,22.25,
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX01,Báo chí,D01,26.07,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX01,Báo chí,D78,26.97,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX01,Báo chí,C00,29.03,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX01,Báo chí,A01,25.51,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX02,Chính trị học,C00,27.98,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX02,Chính trị học,A01,24.6,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX02,Chính trị học,D78,26.28,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX02,Chính trị học,D01,25.35,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX02,Chính trị học,D04,24.95,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX03,Công tác xã hội,C00,27.94,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX03,Công tác xã hội,D78,26.01,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX03,Công tác xã hội,A01,24.39,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX03,Công tác xã hội,D01,25.3,Thứ tự NV 8
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX04,Đông Nam Á học,D78,24.75,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX04,Đông Nam Á học,D01,24.64,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX04,Đông Nam Á học,A01,23.48,Thứ tự NV 8
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX04,Đông Nam Á học,D14,25.29,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX05,Đông phương học,D78,26.71,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX05,Đông phương học,C00,28.83,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX05,Đông phương học,D04,25.8,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX05,Đông phương học,D01,25.99,Thứ tự NV 5
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX06,Hán Nôm,C00,28.26,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX06,Hán Nôm,D78,25.96,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX06,Hán Nôm,D01,25.05,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX06,Hán Nôm,D04,25.8,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX07,Khoa học quản lý,D78,26.26,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX07,Khoa học quản lý,C00,28.58,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX07,Khoa học quản lý,D01,25.41,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX07,Khoa học quản lý,A01,25.07,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX08,Lịch sử,D14,26.8,Thứ tự NV 5
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX08,Lịch sử,D04,25.02,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX08,Lịch sử,D01,25.01,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX08,Lịch sử,C00,28.37,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX08,Lịch sử,D78,26.38,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX09,Lưu trữ học,D78,25.73,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX09,Lưu trữ học,A01,24.49,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX09,Lưu trữ học,C00,27.58,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX09,Lưu trữ học,D01,25.22,Thứ tự NV 11
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX09,Lưu trữ học,D04,25.02,Thứ tự NV 14
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX10,Ngôn ngữ học,D04,25.69,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX10,Ngôn ngữ học,C00,27.94,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX10,Ngôn ngữ học,D01,25.45,Thứ tự NV 5
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX10,Ngôn ngữ học,D78,26.3,Thứ tự NV 5
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX11,Nhân học,C00,27.43,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX11,Nhân học,A01,23.67,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX11,Nhân học,D01,24.93,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX11,Nhân học,D78,25.39,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX11,Nhân học,D04,24.75,Thứ tự NV 7
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX12,Nhật Bản học,D06,25,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX12,Nhật Bản học,D78,26.43,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX12,Nhật Bản học,D01,25.75,Thứ tự NV 4
