Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX13,Quan hệ công chúng,D04,26.4,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX13,Quan hệ công chúng,C00,29.1,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX13,Quan hệ công chúng,D78,27.36,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX13,Quan hệ công chúng,D01,26.45,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX14,Quản lý thông tin,C00,28.37,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX14,Quản lý thông tin,D78,26.36,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX14,Quản lý thông tin,A01,25.36,Thứ tự NV 5
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX14,Quản lý thông tin,D01,25.83,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX15,Quản trị dịch vụ du lịch và lữ hành,A01,25.61,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX15,Quản trị dịch vụ du lịch và lữ hành,C00,28.58,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX15,Quản trị dịch vụ du lịch và lữ hành,D01,25.99,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX15,Quản trị dịch vụ du lịch và lữ hành,D78,26.74,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX16,Quản trị khách sạn,C00,28.26,Thứ tự NV 2
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX16,Quản trị khách sạn,D01,25.71,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX16,Quản trị khách sạn,A01,25.46,Thứ tự NV 6
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX16,Quản trị khách sạn,D78,26.38,Thứ tự NV 11
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX17,Quản trị văn phòng,A01,25.5,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX17,Quản trị văn phòng,D78,26.52,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX17,Quản trị văn phòng,D01,25.73,Thứ tự NV 2
