SBD,Năm thi,Best_Combo,Best_Combo_Score
2000381,2024,D01,21.5
2000382,2024,D01,23.85
2000383,2024,D01,21.65
2000384,2024,A01,24.6
2000385,2024,A01,26.450000000000003
2000386,2024,A01,23.25
2000387,2024,A01,25.1
2000388,2024,A01,26.05
2000389,2024,A01,24.799999999999997
2000390,2024,A01,19.05
2000391,2024,A01,22.5
2000392,2024,A01,23.55
2000393,2024,D01,21.0
2000394,2024,D01,23.1
2000395,2024,D01,21.2
2000396,2024,D01,23.1
2000397,2024,D01,22.45
2000398,2024,A01,24.35
2000399,2024,A01,22.6
2000400,2024,D01,24.95
2000401,2024,A01,25.05
2000402,2024,A01,21.8
2000403,2024,D01,24.85
2000404,2024,D01,23.35
2000405,2024,A01,18.4
2000406,2024,D01,23.7
2000407,2024,A01,24.549999999999997
2000408,2024,A01,25.25
2000409,2024,D01,23.0
2000410,2024,D01,23.0
2000411,2024,D01,14.55
2000412,2024,A01,23.6
2000413,2024,D01,22.1
2000414,2024,A01,15.8
2000415,2024,D01,15.25
2000416,2024,A01,23.950000000000003
2000417,2024,A01,24.7
2000418,2024,D01,20.7
2000419,2024,D01,20.35
2000420,2024,A01,22.9
2000421,2024,D01,21.7
2000422,2024,A01,21.25
2000423,2024,D01,23.1
2000424,2024,D01,22.7
2000425,2024,D01,22.5
2000426,2024,A01,26.35
2000427,2024,A01,22.299999999999997
2000428,2024,A01,25.700000000000003
2000429,2024,A01,25.7
2000430,2024,A01,22.95
2000431,2024,A01,22.6
2000432,2024,A01,26.150000000000002
2000433,2024,C19,26.75
2000434,2024,D01,23.1
2000435,2024,D01,21.15
2000436,2024,A01,25.4
2000437,2024,D01,24.95
2000438,2024,A01,23.0
2000439,2024,D01,23.15
2000440,2024,A01,23.6
2000441,2024,D01,19.85
2000442,2024,D01,25.35
2000443,2024,A01,24.1
2000444,2024,D01,24.3
2000445,2024,D01,24.0
2000446,2024,A01,23.15
2000447,2024,D01,21.2
2000448,2024,A01,24.45
2000449,2024,A01,25.15
2000450,2024,D01,21.9
2000451,2024,A01,24.4
2000452,2024,D01,24.6
2000453,2024,A01,23.45
2000454,2024,D01,22.2
2000455,2024,A01,26.85
2000456,2024,D01,20.9
2000457,2024,A01,26.85
2000458,2024,A01,25.15
2000459,2024,A01,26.450000000000003
2000460,2024,A01,24.0
2000461,2024,A01,26.799999999999997
2000462,2024,A01,21.9
2000463,2024,A01,22.85
2000464,2024,D01,20.4
2000465,2024,A01,24.8
2000466,2024,D01,24.75
2000467,2024,,
2000468,2024,C19,25.0
2000469,2024,A01,22.85
2000470,2024,D01,20.25
2000471,2024,A01,18.8
2000472,2024,A01,25.3
2000473,2024,D01,23.45
2000474,2024,C19,23.75
2000475,2024,,
2000476,2024,D01,20.45
2000477,2024,,
2000478,2024,D01,24.15
2000479,2024,,
2000480,2024,C19,25.5
2000481,2024,D14,23.85
2000482,2024,C19,25.0
2000483,2024,D01,25.95
2000484,2024,C19,23.25
2000485,2024,D01,24.15
2000486,2024,C19,24.25
2000487,2024,D01,19.75
2000488,2024,D01,22.35
2000489,2024,C19,23.75
2000490,2024,D01,23.0
2000491,2024,D01,23.9
2000492,2024,A01,24.05
2000493,2024,A01,22.950000000000003
2000494,2024,C19,22.0
2000495,2024,A01,21.9
2000496,2024,D01,24.0
2000497,2024,D01,22.3
2000498,2024,D01,23.0
2000499,2024,D01,25.65
2000500,2024,D01,19.200000000000003
2000501,2024,D01,25.5
2000502,2024,D01,20.65
2000503,2024,D01,24.65
2000504,2024,D14,24.35
2000505,2024,D01,21.9
2000506,2024,D01,25.25
2000507,2024,D01,19.6
2000508,2024,D14,25.15
2000509,2024,D01,23.6
2000510,2024,D01,19.35
2000511,2024,C19,25.75
2000512,2024,D01,25.4
2000513,2024,D01,22.6
2000514,2024,A01,24.9
2000515,2024,C19,22.25
2000516,2024,D01,19.6
2000517,2024,A01,23.05
2000518,2024,,
2000519,2024,C19,21.5
2000520,2024,A01,22.0
2000521,2024,A01,25.8
2000522,2024,C19,23.25
2000523,2024,A01,25.25
2000524,2024,A01,24.45
2000525,2024,A01,25.65
2000526,2024,D14,26.8
2000527,2024,D01,25.7
2000528,2024,D01,24.799999999999997
2000529,2024,D01,22.35
2000530,2024,,
2000531,2024,,
2000532,2024,A01,21.3
2000533,2024,,
2000534,2024,C19,24.25
2000535,2024,A01,22.95
2000536,2024,,
2000537,2024,,
2000538,2024,D01,22.65
2000539,2024,D01,21.65
2000540,2024,C19,25.25
2000541,2024,D01,23.05
2000542,2024,,
2000543,2024,C19,19.0
2000544,2024,A01,24.85
2000545,2024,D01,24.15
2000546,2024,D01,23.4
2000547,2024,D01,25.95
2000548,2024,D01,25.25
2000549,2024,D14,25.0
2000550,2024,A01,23.8
2000551,2024,D01,24.75
2000552,2024,D01,22.85
2000553,2024,C00,26.0
2000554,2024,C19,23.0
2000555,2024,C19,16.5
2000556,2024,D01,26.299999999999997
2000557,2024,A01,25.65
2000558,2024,D01,23.05
2000559,2024,,
2000560,2024,A01,22.4
2000561,2024,C19,23.25
2000562,2024,C19,23.5
2000563,2024,D01,24.0
2000564,2024,D01,24.450000000000003
2000565,2024,A01,20.8
2000566,2024,A01,21.1
2000567,2024,A01,24.1
2000568,2024,A01,24.400000000000002
2000569,2024,A01,21.549999999999997
2000570,2024,,
2000571,2024,D01,22.3
2000572,2024,A01,24.85
2000573,2024,D01,18.95
2000574,2024,A01,25.200000000000003
2000575,2024,D01,22.549999999999997
2000576,2024,A01,24.85
2000577,2024,,
2000578,2024,A01,26.0
2000579,2024,D01,23.9
2000580,2024,D01,22.1
2000581,2024,D01,23.049999999999997
2000582,2024,A01,24.15
2000583,2024,C19,21.25
2000584,2024,A01,22.55
2000585,2024,D01,20.55
2000586,2024,C19,24.75
2000587,2024,,
2000588,2024,C00,22.75
2000589,2024,C19,23.25
2000590,2024,A01,23.65
2000591,2024,A01,24.5
2000592,2024,A01,25.0
2000593,2024,A01,27.85
2000594,2024,D01,23.75
2000595,2024,,
2000596,2024,,
2000597,2024,D01,23.75
2000598,2024,C19,21.75
2000599,2024,C00,20.0
2000600,2024,D01,22.4
2000601,2024,A01,23.049999999999997
2000602,2024,D01,25.35
2000603,2024,A01,19.4
2000604,2024,A01,25.25
2000605,2024,D01,23.85
2000606,2024,C19,23.5
2000607,2024,A01,25.05
2000608,2024,C19,22.25
2000609,2024,C19,24.5
2000610,2024,C19,17.0
2000611,2024,D01,26.2
2000612,2024,C19,20.5
2000613,2024,A01,23.7
2000614,2024,D01,23.5
2000615,2024,C19,26.5
2000616,2024,A01,24.85
2000617,2024,D01,23.65
2000618,2024,C19,25.25
2000619,2024,D14,22.3
2000620,2024,A01,20.8
2000621,2024,D01,23.85
2000622,2024,A01,25.700000000000003
2000623,2024,C19,19.5
2000624,2024,D01,23.15
2000625,2024,D14,23.25
2000626,2024,C19,21.75
2000627,2024,A01,23.799999999999997
2000628,2024,D01,20.1
2000629,2024,D01,16.25
2000630,2024,C19,17.25
2000631,2024,A01,25.1
2000632,2024,D01,21.049999999999997
2000633,2024,D01,18.3
2000634,2024,D01,20.7
2000635,2024,D01,19.95
2000636,2024,A01,25.849999999999998
2000637,2024,D01,25.55
2000638,2024,C19,22.75
2000639,2024,D01,23.4
2000640,2024,D01,21.3
2000641,2024,D01,22.15
2000642,2024,D01,26.5
2000643,2024,D01,22.4
2000644,2024,D01,20.9
2000645,2024,D01,21.8
2000646,2024,D01,25.8
2000647,2024,D01,16.7
2000648,2024,D01,23.1
2000649,2024,D01,24.75
2000650,2024,C19,23.5
2000651,2024,D01,18.4
2000652,2024,D01,25.349999999999998
2000653,2024,D01,26.25
2000654,2024,D01,22.05
2000655,2024,D01,16.05
2000656,2024,D01,25.0
2000657,2024,D01,21.6
2000658,2024,D01,22.1
2000659,2024,D01,21.15
2000660,2024,D01,25.45
2000661,2024,A01,25.200000000000003
2000662,2024,D01,25.0
2000663,2024,A01,23.55
2000664,2024,A01,21.1
2000665,2024,A01,24.35
2000666,2024,D01,24.700000000000003
2000667,2024,A01,25.05
2000668,2024,C00,24.5
2000669,2024,A01,28.25
2000670,2024,A01,25.8
2000671,2024,A01,22.35
2000672,2024,A01,23.6
2000673,2024,D01,26.1
2000674,2024,,
2000675,2024,D01,20.15
2000676,2024,D01,25.200000000000003
2000677,2024,D01,26.049999999999997
2000678,2024,C00,21.25
2000679,2024,D01,21.7
2000680,2024,C19,25.5
2000681,2024,D14,23.55
2000682,2024,D01,23.3
2000683,2024,C19,24.75
2000684,2024,,
2000685,2024,A01,23.5
2000686,2024,A01,24.549999999999997
2000687,2024,D01,19.6
2000688,2024,D01,23.549999999999997
2000689,2024,D01,20.0
2000690,2024,A01,19.6
2000691,2024,A01,22.55
2000692,2024,A01,23.85
2000693,2024,A01,23.8
2000694,2024,D01,21.3
2000695,2024,D14,22.0
2000696,2024,C19,23.25
2000697,2024,C19,25.25
2000698,2024,D01,20.8
2000699,2024,D01,23.65
2000700,2024,C00,24.5
2000701,2024,D01,23.65
2000702,2024,D01,21.3
2000703,2024,C19,22.75
2000704,2024,D01,24.799999999999997
2000705,2024,D01,24.8
2000706,2024,A01,23.2
2000707,2024,C00,24.75
2000708,2024,C19,24.5
2000709,2024,C00,27.25
2000710,2024,D14,22.45
2000711,2024,D01,24.85
2000712,2024,D01,22.9
2000713,2024,D01,24.4
2000714,2024,D01,24.85
2000715,2024,D01,23.0
2000716,2024,C19,15.5
2000717,2024,D01,22.65
2000718,2024,D01,23.95
2000719,2024,C19,24.0
2000720,2024,,
2000721,2024,C19,23.25
2000722,2024,C19,19.5
2000723,2024,D01,24.4
2000724,2024,C19,15.25
2000725,2024,,
2000726,2024,D14,26.9
2000727,2024,D14,24.6
2000728,2024,D01,21.05
2000729,2024,D14,24.55
2000730,2024,D14,24.1
2000731,2024,D14,21.75
2000732,2024,D01,25.85
2000733,2024,,
2000734,2024,,
2000735,2024,D01,26.05
2000736,2024,,
2000737,2024,D01,23.450000000000003
2000738,2024,,
2000739,2024,,
2000740,2024,,
2000741,2024,D14,27.25
2000742,2024,C19,23.25
2000743,2024,D01,24.15
2000744,2024,,
2000745,2024,,
2000746,2024,D14,26.0
2000747,2024,C19,20.0
2000748,2024,,
2000749,2024,,
2000750,2024,D01,20.95
2000751,2024,,
2000752,2024,D14,26.2
2000753,2024,D01,21.6
2000754,2024,C19,22.25
2000755,2024,C19,22.5
2000756,2024,A01,27.049999999999997
2000757,2024,A01,20.35
2000758,2024,A01,26.450000000000003
2000759,2024,D01,23.05
2000760,2024,,
2000761,2024,,
2000762,2024,D01,24.15
2000763,2024,C19,20.0
2000764,2024,D14,24.25
2000765,2024,D01,25.45
2000766,2024,,
2000767,2024,D01,24.25
2000768,2024,D01,26.15
2000769,2024,D01,25.0
2000770,2024,A01,22.95
2000771,2024,D01,27.35
2000772,2024,C19,25.75
2000773,2024,D01,24.450000000000003
2000774,2024,D14,24.45
2000775,2024,D01,23.5
2000776,2024,A01,21.1
2000777,2024,D01,13.9
2000778,2024,D01,19.35
2000779,2024,D14,21.2
2000780,2024,A01,25.5
2000781,2024,D01,21.450000000000003
2000782,2024,D01,23.05
2000783,2024,D01,25.55
2000784,2024,C19,18.5
2000785,2024,D01,19.049999999999997
2000786,2024,C00,25.5
2000787,2024,,
2000788,2024,C00,21.0
2000789,2024,D01,25.599999999999998
2000790,2024,,
2000791,2024,A01,25.0
2000792,2024,,
2000793,2024,D14,24.25
2000794,2024,C19,23.5
2000795,2024,D14,22.8
2000796,2024,D01,25.7
2000797,2024,D01,23.9
2000798,2024,C19,23.0
2000799,2024,D14,22.75
2000800,2024,C19,15.5
2000801,2024,D01,21.549999999999997
2000802,2024,D01,23.55
2000803,2024,D01,23.4
2000804,2024,D01,24.15
2000805,2024,D01,25.3
2000806,2024,D14,23.65
2000807,2024,A01,25.0
2000808,2024,,
2000809,2024,A01,26.8
2000810,2024,,
2000811,2024,A01,25.1
2000812,2024,A01,23.049999999999997
2000813,2024,A01,24.35
2000814,2024,A01,25.150000000000002
2000815,2024,D01,22.7
2000816,2024,D14,26.15
2000817,2024,C19,21.25
2000818,2024,D01,24.799999999999997
2000819,2024,D01,23.25
2000820,2024,D01,25.200000000000003
2000821,2024,C19,23.5
2000822,2024,D01,21.25
2000823,2024,A01,24.599999999999998
2000824,2024,,
2000825,2024,A01,24.25
2000826,2024,D01,26.549999999999997
2000827,2024,C19,23.25
2000828,2024,,
2000829,2024,D01,24.85
2000830,2024,C00,23.5
2000831,2024,,
2000832,2024,A01,22.95
2000833,2024,A01,21.5
2000834,2024,D01,24.349999999999998
2000835,2024,A01,23.5
2000836,2024,A01,21.3
2000837,2024,C19,23.5
2000838,2024,C19,17.75
2000839,2024,C19,24.5
2000840,2024,D01,25.35
2000841,2024,D01,25.1
2000842,2024,D01,23.549999999999997
2000843,2024,D14,24.7
2000844,2024,D14,24.5
2000845,2024,C19,22.25
2000846,2024,C19,25.75
2000847,2024,D01,23.45
2000848,2024,A01,24.4
2000849,2024,D01,20.75
2000850,2024,D01,25.6
2000851,2024,C00,19.5
2000852,2024,C19,25.0
2000853,2024,A01,24.200000000000003
2000854,2024,A01,18.8
2000855,2024,,
2000856,2024,C19,23.75
2000857,2024,C19,23.75
2000858,2024,A01,20.8
2000859,2024,A01,26.0
2000860,2024,,
2000861,2024,A01,22.55
2000862,2024,A01,21.5
2000863,2024,A01,19.7
2000864,2024,,
2000865,2024,C19,23.5
2000866,2024,D01,24.6
2000867,2024,D01,24.049999999999997
2000868,2024,D01,20.35
2000869,2024,C19,24.0
2000870,2024,A01,24.799999999999997
2000871,2024,D01,20.75
2000872,2024,D01,24.0
2000873,2024,C19,21.75
2000874,2024,D14,20.05
2000875,2024,A01,20.65
2000876,2024,C00,23.0
2000877,2024,D01,24.700000000000003
2000878,2024,A01,20.65
2000879,2024,D01,22.15
2000880,2024,D01,19.1
2000881,2024,D14,25.95
2000882,2024,C19,22.25
2000883,2024,A01,23.9
2000884,2024,,
2000885,2024,D01,22.65
2000886,2024,,
2000887,2024,D01,25.65
2000888,2024,D01,19.35
2000889,2024,D01,24.25
2000890,2024,C19,20.5
2000891,2024,A01,24.299999999999997
2000892,2024,D01,25.8
2000893,2024,D01,23.55
2000894,2024,C19,19.75
2000895,2024,D01,24.3
2000896,2024,A01,25.549999999999997
2000897,2024,D01,20.45
2000898,2024,C19,24.75
2000899,2024,D14,25.4
2000900,2024,D01,19.7
2000901,2024,C19,23.75
2000902,2024,D01,25.6
2000903,2024,,
2000904,2024,D01,25.25
2000905,2024,A01,24.85
2000906,2024,A01,18.0
2000907,2024,D01,23.7
2000908,2024,C19,23.5
2000909,2024,D01,24.1
2000910,2024,A01,24.35
2000911,2024,C19,27.25
2000912,2024,C19,23.25
2000913,2024,C19,23.25
2000914,2024,A01,21.4
2000915,2024,D01,23.9
2000916,2024,C00,23.5
2000917,2024,D01,20.45
2000918,2024,D01,25.0
2000919,2024,A01,22.15
2000920,2024,D01,20.9
2000921,2024,A01,24.799999999999997
2000922,2024,D01,24.8
2000923,2024,D01,22.65
2000924,2024,D01,25.299999999999997
2000925,2024,A01,25.05
2000926,2024,D01,24.85
2000927,2024,C19,20.25
2000928,2024,C19,23.5
2000929,2024,D01,24.65
2000930,2024,D01,22.05
2000931,2024,C19,22.75
2000932,2024,D14,26.0
2000933,2024,C19,21.0
2000934,2024,A01,23.700000000000003
2000935,2024,C19,25.0
2000936,2024,D01,22.05
2000937,2024,D01,20.8
2000938,2024,C19,23.5
2000939,2024,D01,24.1
2000940,2024,D01,24.9
2000941,2024,D01,22.700000000000003
2000942,2024,A01,24.4
2000943,2024,,
2000944,2024,C19,22.5
2000945,2024,D01,22.85
2000946,2024,A01,25.900000000000002
2000947,2024,D01,23.799999999999997
2000948,2024,C19,25.0
2000949,2024,D01,20.9
2000950,2024,D01,23.35
2000951,2024,D01,26.200000000000003
2000952,2024,,
2000953,2024,C19,24.25
2000954,2024,C19,25.25
2000955,2024,,
2000956,2024,D01,17.55
2000957,2024,D01,12.65
2000958,2024,D01,25.549999999999997
2000959,2024,D14,24.55
2000960,2024,A01,25.8
2000961,2024,D01,21.6
2000962,2024,,
2000963,2024,C19,17.0
2000964,2024,D01,23.55
2000965,2024,D01,21.35
2000966,2024,D01,22.05
2000967,2024,D01,22.299999999999997
2000968,2024,D14,21.65
2000969,2024,C19,21.0
2000970,2024,D01,22.799999999999997
2000971,2024,A01,25.1
2000972,2024,C00,26.25
2000973,2024,D01,23.4
2000974,2024,A01,24.6
2000975,2024,D01,24.200000000000003
2000976,2024,D01,25.950000000000003
2000977,2024,C19,23.0
2000978,2024,D01,21.1
2000979,2024,C19,22.25
2000980,2024,A01,23.0
2000981,2024,D01,21.75
2000982,2024,D01,21.6
2000983,2024,C19,25.25
2000984,2024,C19,22.0
2000985,2024,C00,23.25
2000986,2024,D14,26.05
2000987,2024,C19,24.0
2000988,2024,D01,22.2
2000989,2024,A01,26.400000000000002
2000990,2024,A01,24.4
2000991,2024,D01,25.8
2000992,2024,C19,21.5
2000993,2024,A01,26.65
2000994,2024,D01,21.25
2000995,2024,C19,19.0
