SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi,KHTN,KHXH
2000371,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,8.0,8.25,,,,9.6,8.25,2022,,8.2
2000372,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.0,8.5,6.75,,,,7.4,7.75,2022,,7.7
2000373,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.0,8.25,6.75,,,,8.4,9.0,2022,,8.0
2000374,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,6.75,,5.25,7.2,,2022,,
2000375,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,6.5,,,6.75,,4.0,3.6,,2022,,
2000376,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.8,7.0,5.5,5.75,,,,7.0,8.25,2022,,6.5
2000377,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,4.75,,4.5,9.2,,2022,,
2000378,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,8.25,,6.25,8.4,,2022,,
2000379,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,7.75,,6.5,8.8,,2022,,
2000380,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,6.25,,,5.0,,5.0,8.6,,2022,,
2000381,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,6.5,,5.0,7.6,,2022,,
2000382,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,6.25,,3.0,8.8,,2022,,
2000383,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,6.75,,4.25,8.0,,2022,,
2000384,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.17,,,7.75,,4.75,8.8,,2022,,
2000385,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.5,,6.25,9.0,,2022,,
2000386,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.25,,4.0,5.6,,2022,,
2000387,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,6.0,5.75,,,,6.8,6.75,2022,,6.2
2000388,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.25,,,4.5,,3.0,4.2,,2022,,
2000389,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,7.25,6.5,,,,7.6,8.25,2022,,7.3
2000391,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,6.75,,3.5,7.8,,2022,,
2000392,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.0,8.0,6.0,,,,6.6,7.5,2022,,7.2
2000393,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8.0,6.5,6.25,,,,6.6,8.0,2022,,6.9
2000394,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,,,6.75,,7.0,8.8,,2022,,
2000395,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,6.0,,6.5,9.0,,2022,,
2000396,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,8.25,,,6.25,,4.75,5.6,,2022,,
2000397,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,7.75,,6.25,8.6,,2022,,
2000398,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.5,,,6.0,,3.75,7.6,,2022,,
2000399,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,8.5,,3.75,9.0,,2022,,
2000400,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,6.5,,6.0,9.2,,2022,,
2000401,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,8.0,8.25,,,,8.0,8.75,2022,,8.3
2000402,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7.5,,4.0,8.8,,2022,,
2000403,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,6.75,7.25,,,,7.8,8.5,2022,,7.5
2000404,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,7.5,,3.25,7.4,,2022,,
2000405,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,2.5,,6.0,4.6,,2022,,
2000406,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,5.75,,3.5,8.0,,2022,,
2000407,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,4.25,6.0,,,,6.4,8.0,2022,,6.1
2000408,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.5,,5.0,8.6,,2022,,
2000409,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.0,6.0,7.25,,,,6.4,8.25,2022,,7.2
2000410,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.0,7.25,8.0,,,,8.4,8.75,2022,,8.0
2000411,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,7.5,7.25,8.0,,,,9.2,8.25,2022,,7.8
2000412,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,7.0,,,7.5,,5.25,8.2,,2022,,
2000413,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.25,,,6.75,,4.0,8.4,,2022,,
2000414,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,7.0,7.5,,,,8.8,7.25,2022,,7.2
2000415,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,6.25,,2.5,4.6,,2022,,
2000416,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,7.75,,6.25,8.6,,2022,,
2000417,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,7.0,,5.5,9.2,,2022,,
2000418,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,9.0,,6.25,7.6,,2022,,
2000419,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.0,,,7.0,,3.5,9.0,,2022,,
2000420,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.5,,,5.5,,4.0,8.0,,2022,,
2000421,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.0,,,7.5,,2.5,9.2,,2022,,
2000422,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,7.25,,3.0,7.6,,2022,,
2000423,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,5.75,,4.25,7.2,,2022,,
2000424,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,4.75,,,7.0,,5.25,9.0,,2022,,
2000425,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,6.75,6.75,,,,8.0,8.25,2022,,7.2
2000426,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,8.5,7.5,,,,7.8,8.75,2022,,8.2
2000427,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,6.0,,3.0,8.4,,2022,,
2000428,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,7.0,6.25,,,,7.4,8.25,2022,,7.2
2000429,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.75,,,6.25,,3.25,8.6,,2022,,
2000430,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.0,,,7.75,,4.0,8.0,,2022,,
2000431,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,7.0,,3.5,8.4,,2022,,
2000433,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,7.75,,3.75,7.6,,2022,,
2000434,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.75,,,5.5,,5.0,9.4,,2022,,
2000435,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,5.0,,8.0,6.4,,2022,,
2000436,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.75,5.25,6.0,,,,7.4,7.0,2022,,6.1
2000437,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,5.75,,4.5,9.0,,2022,,
2000438,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,7.75,,3.25,9.2,,2022,,
2000439,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,,,7.5,,4.5,8.4,,2022,,
2000440,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,8.5,,4.0,7.6,,2022,,
2000441,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,7.75,7.25,,,,8.8,8.5,2022,,7.8
2000442,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.0,,,8.25,,5.0,9.4,,2022,,
2000443,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.5,,,6.75,,5.0,7.4,,2022,,
2000444,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,7.25,6.5,,,,8.6,8.5,2022,,7.4
2000445,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,8.0,,8.0,9.4,,2022,,
2000446,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7.75,,5.75,8.8,,2022,,
2000447,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.5,,,8.5,,3.0,9.0,,2022,,
2000448,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.25,,,7.0,,8.5,6.6,,2022,,
2000449,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,8.25,,5.0,5.8,,2022,,
2000450,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,,,6.75,,5.75,7.6,,2022,,
2000451,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,7.5,,3.75,7.4,,2022,,
2000452,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,7.5,,5.25,7.4,,2022,,
2000453,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,7.5,,4.25,8.8,,2022,,
2000454,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,5.5,,4.5,,,2022,,
2000455,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,7.5,,4.75,8.6,,2022,,
2000456,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,4.75,,,6.25,,3.0,8.4,,2022,,
2000457,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,,,7.5,,5.25,7.6,,2022,,
2000458,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,8.75,8.25,,,,7.4,8.5,2022,,8.5
2000459,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,,,6.5,,4.75,8.4,,2022,,
2000460,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,9.0,7.5,,,,8.6,9.0,2022,,8.5
2000461,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,8.5,,3.25,8.6,,2022,,
2000462,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,8.0,,4.0,7.4,,2022,,
2000463,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.5,,,7.25,,4.75,8.4,,2022,,
2000464,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,,,5.0,,3.0,8.6,,2022,,
2000465,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,7.5,7.25,,,,8.4,9.0,2022,,7.9
2000466,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,4.5,,,8.0,,2.0,8.6,,2022,,
2000467,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,6.5,,4.5,8.2,,2022,,
2000468,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.5,8.0,7.25,,,,7.2,7.0,2022,,7.4
2000469,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.0,8.0,7.0,,,,7.6,7.75,2022,,7.6
2000470,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,,,6.5,,5.0,8.0,,2022,,
2000471,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,7.75,,5.75,7.0,,2022,,
2000472,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,8.0,,6.75,9.6,,2022,,
2000473,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6.0,,4.75,9.2,,2022,,
2000474,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,4.75,,5.5,8.6,,2022,,
2000475,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,6.5,7.75,,,,8.8,8.5,2022,,7.6
2000476,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,5.75,,4.25,5.2,,2022,,
2000477,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,6.25,,5.25,6.6,,2022,,
2000478,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.75,,,6.75,,3.5,7.4,,2022,,
2000479,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,7.5,,4.0,8.2,,2022,,
2000480,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.75,,,7.0,,6.25,7.8,,2022,,
2000481,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,,,6.5,,4.0,7.0,,2022,,
2000482,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.0,,,5.0,,6.0,8.4,,2022,,
2000483,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,3.25,,,5.5,,2.75,9.0,,2022,,
2000484,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.25,,3.0,7.4,,2022,,
2000485,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,7.5,7.0,,,,7.6,7.75,2022,,7.4
2000486,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,6.75,,3.75,8.6,,2022,,
2000487,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,6.5,,3.5,9.2,,2022,,
2000488,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,6.0,,4.25,6.8,,2022,,
2000489,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.0,,,8.75,,5.75,8.8,,2022,,
2000490,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.75,,,7.25,,8.5,8.4,,2022,,
2000491,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,7.25,,3.75,9.0,,2022,,
2000492,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,7.5,,5.5,8.0,,2022,,
2000493,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.5,7.25,7.75,,,,7.8,9.0,2022,,8.0
2000494,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,7.75,,7.25,9.2,,2022,,
2000495,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.25,6.75,6.0,,,,7.8,7.75,2022,,6.8
2000496,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,8.0,7.5,,,,8.2,7.0,2022,,7.5
2000497,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,6.0,,3.75,9.0,,2022,,
2000498,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,7.0,8.25,,,,9.0,9.25,2022,,8.2
2000499,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.75,7.75,6.75,,,,8.4,9.0,2022,,7.8
2000500,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,5.0,6.75,7.5,,,,7.2,7.75,2022,,7.3
2000501,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,,,5.75,,4.75,8.0,,2022,,
2000502,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,8.75,7.25,,,,9.6,9.0,2022,,8.3
2000503,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,4.5,,6.0,5.0,,2022,,
2000504,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,6.0,,5.0,9.4,,2022,,
2000505,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.33,6.75,6.0,,,,7.4,10.0,2022,,7.6
2000506,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,7.5,,6.0,6.4,,2022,,
2000507,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,9.25,,4.75,8.6,,2022,,
2000508,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.0,7.75,7.5,,,,8.6,8.75,2022,,8.0
2000509,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,8.0,6.75,,,,9.6,8.75,2022,,7.8
2000510,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,7.25,7.0,,,,8.0,8.5,2022,,7.6
2000511,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.75,,,3.75,,6.25,3.6,,2022,,
2000512,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,6.0,,8.25,7.0,,2022,,
2000513,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,6.5,,4.0,6.8,,2022,,
2000514,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.5,7.75,6.5,,,,8.6,8.25,2022,,7.5
2000515,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,6.0,6.0,,,,6.2,8.5,2022,,6.8
2000516,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,,,7.75,,5.75,8.6,,2022,,
2000517,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.58,7.25,8.0,,,,8.8,8.0,2022,,7.8
2000518,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,6.5,,5.0,5.8,,2022,,
2000519,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,7.5,,,5.75,,3.75,6.4,,2022,,
2000520,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,8.25,,4.0,7.6,,2022,,
2000521,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.0,,,6.5,,2.25,8.0,,2022,,
2000522,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.0,,,7.25,,4.25,8.4,,2022,,
2000523,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,7.25,,6.0,9.6,,2022,,
2000524,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,,,4.75,,2.75,7.8,,2022,,
2000525,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,6.0,,7.0,7.6,,2022,,
2000526,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.5,,,4.25,,5.25,7.8,,2022,,
2000527,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,5.25,4.5,,,,8.4,7.25,2022,,5.7
2000528,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,7.5,,7.75,9.2,,2022,,
2000529,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8.25,8.0,7.75,,,,8.4,8.5,2022,,8.1
2000530,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.25,,,6.0,,3.25,5.4,,2022,,
2000531,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,6.75,6.25,,,,7.6,7.25,2022,,6.8
2000532,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,6.75,6.75,,,,9.0,7.5,2022,,7.0
2000533,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,6.75,5.75,,,,7.2,8.5,2022,,7.0
2000534,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.0,,,6.25,,4.0,6.8,,2022,,
2000535,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.25,8.75,7.0,,,,8.2,9.0,2022,,8.2
2000536,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,5.75,7.0,,,,7.8,8.0,2022,,6.9
2000537,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.25,,4.25,8.4,,2022,,
2000538,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,5.25,6.25,,,,6.6,7.25,2022,,6.2
2000539,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,7.25,,4.5,,,2022,,
2000540,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,5.0,,7.25,8.6,,2022,,
2000541,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,8.25,7.75,,,,9.2,8.5,2022,,8.2
2000542,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,4.75,6.5,,,,6.8,7.75,2022,,6.3
2000543,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.5,,,7.75,,4.0,9.2,,2022,,
2000544,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,8.0,7.25,,,,7.8,8.25,2022,,7.8
2000545,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,4.0,,5.5,5.0,,2022,,
2000546,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,7.5,6.5,,,,8.4,8.0,2022,,7.3
2000547,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,7.75,,5.5,7.6,,2022,,
2000548,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,4.75,,6.25,6.6,,2022,,
2000549,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,7.0,5.5,,,,9.2,7.75,2022,,6.8
2000550,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.25,,,6.25,,5.0,,,2022,,
2000551,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,4.25,8.25,6.5,,,,8.8,7.0,2022,,7.2
2000552,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,7.25,7.25,,,,9.6,8.0,2022,,7.5
2000553,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,7.25,,,5.0,,5.75,7.2,,2022,,
2000554,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,8.25,,6.75,7.2,,2022,,
2000555,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,8.75,6.75,,,,7.6,8.25,2022,,7.9
2000556,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.5,,,3.25,,3.5,8.2,,2022,,
2000557,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,5.25,,,7.0,,4.75,6.2,,2022,,
2000558,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,7.5,,3.75,7.0,,2022,,
2000559,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.0,,,8.5,,4.25,7.8,,2022,,
2000560,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,5.5,,,8.0,,5.0,9.0,,2022,,
2000561,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,8.0,7.5,5.75,,,,8.2,7.25,2022,,6.8
2000562,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8.25,6.75,7.0,,,,8.2,7.75,2022,,7.2
2000563,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,6.25,7.0,,,,8.6,7.5,2022,,6.9
2000564,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.0,7.0,6.5,7.0,,,,6.6,7.5,2022,,7.0
2000565,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.5,8.5,8.0,,,,6.2,9.5,2022,,8.7
2000566,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.5,5.25,6.75,,,,8.0,7.5,2022,,6.5
2000567,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,,,7.75,,4.0,6.0,,2022,,
2000568,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,7.5,,4.5,5.4,,2022,,
2000569,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,5.25,,3.5,6.8,,2022,,
2000570,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,7.75,,5.25,8.2,,2022,,
2000571,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,6.5,,6.5,8.0,,2022,,
2000572,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,6.75,,3.5,8.0,,2022,,
2000573,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,7.25,7.75,,,,8.0,7.75,2022,,7.6
2000574,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.0,5.5,6.0,,,,6.2,7.5,2022,,6.3
2000575,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.5,,,7.25,,4.25,8.0,,2022,,
2000576,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,,,5.25,,8.25,6.8,,2022,,
2000577,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.75,,,4.5,,5.5,8.0,,2022,,
2000578,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.25,5.75,6.5,,,,8.8,9.0,2022,,7.1
2000579,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,5.75,,4.25,9.0,,2022,,
2000580,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.75,,4.5,6.4,,2022,,
2000581,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,6.75,,6.25,8.8,,2022,,
2000582,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,8.0,,5.5,9.0,,2022,,
2000583,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,6.0,,3.5,6.6,,2022,,
2000584,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,5.75,,,8.25,,4.75,7.6,,2022,,
2000585,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,8.25,,4.0,7.2,,2022,,
2000586,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,8.0,8.5,6.0,,,,7.2,8.5,2022,,7.7
2000587,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,4.75,,5.75,5.4,,2022,,
2000588,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.25,,,7.25,,7.25,7.6,,2022,,
2000589,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,8.25,,4.75,8.0,,2022,,
2000590,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,8.0,,6.75,9.2,,2022,,
2000591,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,7.5,,3.0,8.2,,2022,,
2000592,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.5,,,8.25,,3.25,5.8,,2022,,
2000593,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,,,7.25,,4.5,9.4,,2022,,
2000594,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,5.75,,,7.25,,5.0,8.0,,2022,,
2000595,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,8.25,,4.75,8.0,,2022,,
2000596,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,7.5,,6.75,8.6,,2022,,
2000597,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.5,,,4.5,,4.5,8.2,,2022,,
