SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi,KHTN,KHXH
2001221,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.0,,,7.75,,4.25,8.8,,2024,,
2001222,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,8.0,,4.25,9.4,,2024,,
2001223,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,4.0,,4.75,8.8,,2024,,
2001224,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,,,4.0,,8.25,9.8,,2024,,
2001225,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,6.5,7.5,,,,7.8,8.0,2024,,7.3
2001226,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,,,6.25,,4.5,5.8,,2024,,
2001227,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,,,8.5,,7.5,9.0,,2024,,
2001228,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,7.5,,6.0,8.6,,2024,,
2001229,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,5.0,,4.0,8.0,,2024,,
2001230,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,8.0,6.75,6.75,,,,8.0,8.0,2024,,7.2
2001231,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,8.0,6.0,7.75,,,,7.0,9.0,2024,,7.6
2001232,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,8.5,7.75,,,,8.8,8.75,2024,,8.3
2001233,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.0,,,6.5,,4.75,6.8,,2024,,
2001234,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.5,,,2.75,,4.75,7.6,,2024,,
2001235,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.0,,,6.25,,4.5,7.4,,2024,,
2001236,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.25,,,4.75,,5.75,,,2024,,
2001237,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,6.25,5.75,,,,8.2,8.25,2024,,6.8
2001238,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.0,7.5,6.25,,,,9.4,8.75,2024,,7.5
2001239,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.25,4.5,5.25,,,,3.2,8.0,2024,,5.9
2001240,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.25,,,6.25,,4.0,5.8,,2024,,
2001241,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.0,,,7.5,,6.5,8.2,,2024,,
2001242,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.25,8.0,7.5,,,,8.4,9.5,2024,,8.3
2001243,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.0,6.0,6.0,6.5,,,,5.8,8.5,2024,,7.0
2001244,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,5.5,,5.25,8.4,,2024,,
2001245,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,5.75,6.0,,,,8.2,8.5,2024,,6.8
2001246,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.25,6.5,6.25,,,,7.8,7.75,2024,,6.8
2001247,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,7.0,7.25,,,,8.8,9.25,2024,,7.8
2001248,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.0,5.25,8.0,,,,6.4,8.5,2024,,7.2
2001250,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.0,5.75,7.0,,,,4.8,8.5,2024,,7.1
2001251,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,5.75,,6.0,6.4,,2024,,
2001252,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.5,5.25,5.75,,,,4.8,7.5,2024,,6.2
2001253,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.0,,,4.5,,4.0,8.4,,2024,,
2001254,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.5,,,5.25,,7.0,6.6,,2024,,
2001255,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.0,,,3.5,,5.25,5.2,,2024,,
2001256,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.0,6.25,6.5,,,,6.0,8.25,2024,,7.0
2001257,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,7.25,4.25,6.0,,,,5.8,7.25,2024,,5.8
2001258,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,4.0,6.0,5.5,,,,7.4,8.0,2024,,6.5
2001259,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.75,6.75,7.25,,,,8.4,9.25,2024,,7.8
2001260,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.0,,,6.25,,8.25,8.8,,2024,,
2001261,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.0,,,6.0,,5.0,5.0,,2024,,
2001262,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.25,,,3.75,,6.25,5.4,,2024,,
2001263,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,8.75,9.0,,,,9.4,9.75,2024,,9.2
2001264,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,6.5,7.25,,,,6.2,8.5,2024,,7.4
2001265,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.5,,,4.5,,5.0,7.0,,2024,,
2001266,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.5,,,5.5,,5.25,4.0,,2024,,
2001267,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,,,6.25,,7.25,9.0,,2024,,
2001268,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,,,4.0,,5.5,5.4,,2024,,
2001269,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,6.5,,,6.0,,6.0,7.4,,2024,,
2001270,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.75,7.75,6.5,,,,6.4,8.5,2024,,7.6
2001271,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.5,,,5.5,,5.75,6.6,,2024,,
2001272,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,6.75,7.5,,,,3.0,8.0,2024,,7.4
2001273,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,5.0,5.75,5.5,,,,5.2,7.75,2024,,6.3
2001274,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,5.75,7.25,,,,6.8,7.0,2024,,6.7
2001275,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,,,4.75,,5.5,6.6,,2024,,
2001276,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,,,5.0,,5.75,8.0,,2024,,
2001277,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.5,,,4.75,,5.25,4.0,,2024,,
2001278,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,7.5,,5.25,8.0,,2024,,
2001279,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,6.75,6.5,,,,8.0,9.0,2024,,7.4
2001280,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,5.75,5.0,5.25,,,,4.0,7.0,2024,,5.8
2001281,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,6.5,7.25,,,,8.8,8.5,2024,,7.4
2001282,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.5,4.75,4.75,,,,7.0,8.5,2024,,6.0
2001283,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.25,6.5,6.75,,,,6.0,8.5,2024,,7.2
2001284,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,7.0,6.5,6.75,,,,9.2,7.5,2024,,6.9
2001285,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,5.75,,,4.0,,5.0,8.8,,2024,,
2001286,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.25,,,5.0,,5.25,5.0,,2024,,
2001287,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.25,5.75,5.75,,,,4.6,9.0,2024,,6.8
2001288,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,6.75,,8.0,7.4,,2024,,
2001289,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,4.25,,,5.0,,4.75,3.0,,2024,,
2001290,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,8.0,7.75,6.75,,,,8.4,7.75,2024,,7.4
2001291,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,5.25,5.75,5.75,,,,4.2,7.75,2024,,6.4
2001292,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,7.75,5.75,6.25,,,,3.6,8.75,2024,,6.9
2001293,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7.75,4.75,6.75,,,,7.0,9.25,2024,,6.9
2001294,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.75,,,6.25,,4.25,7.8,,2024,,
2001295,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.0,7.0,6.75,,,,6.2,7.75,2024,,7.2
2001296,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,7.5,5.25,6.5,,,,3.4,7.5,2024,,6.4
2001297,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.0,,,7.5,,6.25,9.6,,2024,,
2001298,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,7.5,6.5,6.25,,,,5.2,7.5,2024,,6.8
2001299,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.0,,,3.25,,4.25,6.2,,2024,,
2001300,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,3.25,,6.0,8.6,,2024,,
2001301,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.0,6.0,5.5,5.75,,,,6.6,7.0,2024,,6.1
2001302,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.0,,,4.75,,6.75,8.0,,2024,,
2001303,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.25,5.75,5.0,,,,6.4,6.5,2024,,5.8
2001304,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,8.0,,5.5,6.0,,2024,,
2001305,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,6.5,,5.75,5.4,,2024,,
2001306,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.2,6.75,,,3.75,,4.75,4.8,,2024,,
2001307,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,,,7.0,,4.0,8.0,,2024,,
2001308,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,5.5,4.25,6.5,,,,4.8,8.75,2024,,6.5
2001309,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7.25,6.5,7.5,,,,8.0,9.25,2024,,7.8
2001310,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,,,4.5,,6.0,6.8,,2024,,
2001311,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,8.25,7.25,,,,8.2,8.75,2024,,8.1
2001312,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,5.0,,,4.25,,4.5,4.4,,2024,,
2001313,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,5.5,,,2.75,,3.25,,,2024,,
2001314,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,5.75,,5.5,8.0,,2024,,
2001315,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,,,5.25,,5.75,7.0,,2024,,
2001316,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.4,5.25,,,5.0,,5.25,2.4,,2024,,
2001317,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.8,5.25,3.75,5.0,,,,3.2,6.5,2024,,5.1
2001318,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,6.25,,7.0,8.2,,2024,,
2001319,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,4.75,,,3.25,,3.75,4.4,,2024,,
2001320,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,8.25,,6.75,8.4,,2024,,
2001321,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.5,7.5,4.75,,,,8.0,9.25,2024,,7.2
2001322,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.0,,,5.75,,4.0,6.6,,2024,,
2001323,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.25,6.0,8.25,,,,7.2,8.5,2024,,7.6
2001324,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,5.5,,,3.75,,6.0,4.4,,2024,,
2001325,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.0,,,7.0,,7.5,7.0,,2024,,
2001326,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.0,6.5,7.0,,,,7.4,7.75,2024,,7.1
2001327,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.5,,,4.25,,5.75,6.4,,2024,,
2001328,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,7.25,,6.0,8.2,,2024,,
2001329,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.0,,,6.0,,5.75,7.6,,2024,,
2001330,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.0,,,7.0,,7.75,,,2024,,
2001331,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,,,5.5,,5.25,9.4,,2024,,
2001332,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.75,,,7.5,,6.0,7.6,,2024,,
2001333,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,8.0,,5.5,7.2,,2024,,
2001334,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.75,,,6.25,,7.25,6.2,,2024,,
2001335,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.0,,,5.25,,6.0,8.4,,2024,,
2001336,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.25,7.5,7.75,,,,7.4,8.75,2024,,8.0
2001337,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,7.25,7.5,,,,,8.75,2024,,7.8
2001338,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,5.25,,,4.0,,4.0,4.2,,2024,,
2001339,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,,,6.25,,6.5,7.6,,2024,,
2001340,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.25,,,3.5,,5.25,4.2,,2024,,
2001341,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,6.25,6.0,,,,7.4,6.75,2024,,6.3
2001342,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.0,4.75,5.25,,,,5.4,7.25,2024,,5.8
2001343,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7.25,5.75,6.75,,,,5.4,8.75,2024,,7.1
2001344,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.75,4.5,5.5,,,,5.8,8.0,2024,,6.0
